Date,Open,High,Low,Close,Volume,Adj Close
2011-05-03,74.39,74.39,73.08,73.45,851400,72.49
2011-05-02,73.90,74.46,73.70,74.29,645800,73.32
2011-04-29,73.30,74.00,72.80,73.39,662000,72.43
2011-04-28,71.45,73.32,71.28,73.14,1100000,72.18
2011-04-27,72.00,72.48,71.21,71.45,1200000,70.51
2011-04-26,70.70,71.76,70.55,71.00,526400,70.07
2011-04-25,70.00,70.16,69.69,70.16,476200,69.24
2011-04-21,70.23,70.41,69.79,69.88,648300,68.96
2011-04-20,70.39,70.41,69.36,69.76,785800,68.85
2011-04-19,69.12,69.55,69.00,69.24,597900,68.33
2011-04-18,69.05,69.42,68.63,69.10,600200,68.19
2011-04-15,69.49,70.27,69.34,69.71,575900,68.80
2011-04-14,70.59,70.59,69.55,69.55,656400,68.64
2011-04-13,71.22,71.30,70.15,70.18,701800,69.26
2011-04-12,70.08,71.19,70.08,70.94,924000,70.01
2011-04-11,70.99,71.28,70.28,70.62,584200,69.69
2011-04-08,71.61,71.89,70.29,70.70,793100,69.77
2011-04-07,71.83,72.27,71.54,71.59,414700,70.65
2011-04-06,72.68,72.68,71.47,72.00,580600,71.06
2011-04-05,73.35,73.37,72.25,72.40,814700,71.45
2011-04-04,73.47,74.00,73.30,73.40,599500,72.44
2011-04-01,73.18,73.63,72.95,72.98,626800,72.02
2011-03-31,72.60,73.25,72.44,73.15,1007000,72.19
2011-03-30,72.40,72.59,72.12,72.44,584500,71.49
2011-03-29,72.30,72.88,72.16,72.25,793400,71.30
2011-03-28,72.30,72.70,71.72,72.07,757100,71.13
2011-03-25,71.84,72.70,71.74,72.34,514600,71.39
2011-03-24,72.40,72.42,71.46,71.72,758900,70.78
2011-03-23,72.00,72.43,71.83,72.12,622600,71.17
2011-03-22,72.29,72.94,71.73,71.73,971300,70.79
2011-03-21,72.30,72.98,72.09,72.60,774500,71.65
2011-03-18,71.62,72.45,71.61,71.96,2186700,71.02
2011-03-17,71.78,71.97,71.06,71.61,938200,70.67
2011-03-16,70.72,71.18,70.04,70.86,1173900,69.93
2011-03-15,70.99,71.68,70.31,70.86,970000,69.93
2011-03-14,72.00,72.34,71.26,72.00,710700,71.06
2011-03-11,71.66,72.47,71.66,72.39,1133300,71.44
2011-03-10,72.24,72.48,71.22,72.38,1257400,71.43
2011-03-09,72.70,72.73,71.96,72.28,1145400,71.33
2011-03-08,72.20,72.74,71.93,72.64,1295200,71.69
2011-03-07,72.79,72.79,71.40,71.96,1149800,70.70
2011-03-04,71.90,71.99,71.38,71.78,1082100,70.52
2011-03-03,70.89,71.99,70.64,71.74,864200,70.48
2011-03-02,70.26,71.02,70.15,70.82,534400,69.58
2011-03-01,70.51,71.48,70.15,70.44,691700,69.20
